,mZD,Gamma_ZD/(epsilon^2 GeV),Br(ZD->ll)/epsilon^2,Br(h->ZDZ^(*)->4l)/epsilon^2,Br(h->ZDZD->4l)/kappaprime^2,,,,,,,,,,,,,,,,,,,,
,0.7735,0.026,0.155,3.64E-06,28.38773351,,,,,,,,,,,,,,,,,,,,
,0.7736,0.0261,0.154,3.63E-06,28.25856665,,,,,,,,,,,,,,,,,,,,
,0.77379,0.0263,0.153,3.59E-06,27.65146328,,,,,,,,,,,,,,,,,,,,
,0.774,0.0266,0.151,3.56E-06,27.18814932,,,,,,,,,,,,,,,,,,,,
,0.77438,0.0264,0.152,3.59E-06,27.50956062,,,,,,,,,,,,,,,,,,,,
,0.7744,0.027,0.149,3.51E-06,26.33696062,,,,,,,,,,,,,,,,,,,,
,0.7756,0.029,0.139,3.29E-06,22.98603033,,,,,,,,,,,,,,,,,,,,
,0.7775,0.0317,0.128,3.03E-06,19.33932973,,,,,,,,,,,,,,,,,,,,
,0.7776,0.0318,0.127,3.02E-06,19.17410552,,,,,,,,,,,,,,,,,,,,
,0.77779,0.0325,0.125,2.96E-06,18.39184068,,,,,,,,,,,,,,,,,,,,
,0.778,0.0336,0.121,2.87E-06,17.22955935,,,,,,,,,,,,,,,,,,,,
,0.77811,0.0345,0.117,2.79E-06,16.31760406,,,,,,,,,,,,,,,,,,,,
,0.77817,0.0353,0.115,2.73E-06,15.59485993,,,,,,,,,,,,,,,,,,,,
,0.7782,0.0345,0.117,2.80E-06,16.35879281,,,,,,,,,,,,,,,,,,,,
,0.7784,0.0345,0.117,2.79E-06,16.30987449,,,,,,,,,,,,,,,,,,,,
,0.77871,0.035,0.116,2.75E-06,15.84078549,,,,,,,,,,,,,,,,,,,,
,0.77948,0.0366,0.111,2.65E-06,14.56044518,,,,,,,,,,,,,,,,,,,,
,0.7796,0.0368,0.11,2.63E-06,14.38005326,,,,,,,,,,,,,,,,,,,,
,0.77979,0.0378,0.107,2.56E-06,13.64380828,,,,,,,,,,,,,,,,,,,,
,0.7799,0.0387,0.105,2.50E-06,12.99941422,,,,,,,,,,,,,,,,,,,,
,0.78,0.0393,0.103,2.47E-06,12.634609,,,,,,,,,,,,,,,,,,,,
,0.78017,0.0405,0.1,2.39E-06,11.88547297,,,,,,,,,,,,,,,,,,,,
,0.7804,0.0409,0.0992,2.37E-06,11.65154485,,,,,,,,,,,,,,,,,,,,
,0.78059,0.0414,0.0981,2.35E-06,11.39541346,,,,,,,,,,,,,,,,,,,,
,0.78079,0.0419,0.097,2.32E-06,11.14669527,,,,,,,,,,,,,,,,,,,,
,0.781,0.0421,0.0966,2.31E-06,11.05754996,,,,,,,,,,,,,,,,,,,,
,0.7814,0.0427,0.0952,2.28E-06,10.73703692,,,,,,,,,,,,,,,,,,,,
,0.7816,0.0431,0.0943,2.26E-06,10.53030348,,,,,,,,,,,,,,,,,,,,
,0.78163,0.0432,0.094,2.26E-06,10.48190125,,,,,,,,,,,,,,,,,,,,
,0.78179,0.0437,0.093,2.23E-06,10.25691301,,,,,,,,,,,,,,,,,,,,
,0.782,0.0438,0.0929,2.23E-06,10.23615266,,,,,,,,,,,,,,,,,,,,
,0.78213,0.0433,0.094,2.26E-06,10.46035745,,,,,,,,,,,,,,,,,,,,
,0.78223,0.0423,0.0961,2.31E-06,10.94977621,,,,,,,,,,,,,,,,,,,,
,0.7824,0.0432,0.0941,2.26E-06,10.49587755,,,,,,,,,,,,,,,,,,,,
,0.78252,0.0433,0.0939,2.26E-06,10.45584969,,,,,,,,,,,,,,,,,,,,
,0.78279,0.0435,0.0936,2.25E-06,10.37580806,,,,,,,,,,,,,,,,,,,,
,0.7829,0.0435,0.0937,2.26E-06,10.39972361,,,,,,,,,,,,,,,,,,,,
,0.783,0.0425,0.0958,2.31E-06,10.86727731,,,,,,,,,,,,,,,,,,,,
,0.7832,0.0398,0.102,2.47E-06,12.441153,,,,,,,,,,,,,,,,,,,,
,0.7834,0.0412,0.0989,2.39E-06,11.59634863,,,,,,,,,,,,,,,,,,,,
,0.78351,0.0411,0.0992,2.39E-06,11.65499403,,,,,,,,,,,,,,,,,,,,
,0.7836,0.041,0.0994,2.40E-06,11.71333999,,,,,,,,,,,,,,,,,,,,
,0.78379,0.0407,0.1,2.42E-06,11.90258102,,,,,,,,,,,,,,,,,,,,
,0.784,0.0395,0.103,2.49E-06,12.63025277,,,,,,,,,,,,,,,,,,,,
,0.78424,0.0388,0.105,2.54E-06,13.10090789,,,,,,,,,,,,,,,,,,,,
,0.7844,0.0389,0.105,2.54E-06,13.04179582,,,,,,,,,,,,,,,,,,,,
,0.785,0.0359,0.114,2.76E-06,15.35121163,,,,,,,,,,,,,,,,,,,,
,0.7854,0.0341,0.12,2.90E-06,16.97497821,,,,,,,,,,,,,,,,,,,,
,0.78551,0.0337,0.121,2.94E-06,17.45453875,,,,,,,,,,,,,,,,,,,,
,0.7856,0.0333,0.123,2.98E-06,17.85271367,,,,,,,,,,,,,,,,,,,,
,0.78579,0.0328,0.125,3.02E-06,18.3710266,,,,,,,,,,,,,,,,,,,,
,0.786,0.0312,0.131,3.18E-06,20.4052353,,,,,,,,,,,,,,,,,,,,
,0.78604,0.0305,0.134,3.25E-06,21.25824066,,,,,,,,,,,,,,,,,,,,
,0.78618,0.0317,0.129,3.13E-06,19.70837403,,,,,,,,,,,,,,,,,,,,
,0.7864,0.0309,0.132,3.21E-06,20.71249432,,,,,,,,,,,,,,,,,,,,
,0.7876,0.0299,0.137,3.34E-06,22.27693661,,,,,,,,,,,,,,,,,,,,
,0.7882,0.0291,0.141,3.44E-06,23.55803692,,,,,,,,,,,,,,,,,,,,
,0.7892,0.0277,0.148,3.62E-06,25.96977622,,,,,,,,,,,,,,,,,,,,
,0.7895,0.0252,0.163,3.98E-06,31.37607007,,,,,,,,,,,,,,,,,,,,
,0.7896,0.0244,0.168,4.12E-06,33.51983409,,,,,,,,,,,,,,,,,,,,
,0.78979,0.0232,0.177,4.35E-06,37.31509731,,,,,,,,,,,,,,,,,,,,
,0.79,0.0232,0.177,4.34E-06,37.05007657,,,,,,,,,,,,,,,,,,,,
,0.79009,0.0238,0.173,4.23E-06,35.28644803,,,,,,,,,,,,,,,,,,,,
,0.7901,0.0239,0.172,4.22E-06,35.0805725,,,,,,,,,,,,,,,,,,,,
,0.7904,0.0238,0.173,4.25E-06,35.49722606,,,,,,,,,,,,,,,,,,,,
,0.7905,0.0237,0.174,4.26E-06,35.73705621,,,,,,,,,,,,,,,,,,,,
,0.7916,0.0228,0.18,4.44E-06,38.54318136,,,,,,,,,,,,,,,,,,,,
,0.7932,0.0198,0.209,5.16E-06,51.60257171,,,,,,,,,,,,,,,,,,,,
,0.79349,0.0198,0.208,5.15E-06,51.42752061,,,,,,,,,,,,,,,,,,,,
,0.79379,0.0199,0.208,5.14E-06,51.13864856,,,,,,,,,,,,,,,,,,,,
,0.794,0.0201,0.205,5.09E-06,49.97946803,,,,,,,,,,,,,,,,,,,,
,0.79414,0.0198,0.209,5.18E-06,51.75134894,,,,,,,,,,,,,,,,,,,,
,0.7944,0.0199,0.207,5.14E-06,50.88205108,,,,,,,,,,,,,,,,,,,,
,0.7976,0.0184,0.226,5.64E-06,60.40045692,,,,,,,,,,,,,,,,,,,,
,0.79949,0.0183,0.228,5.71E-06,61.36521259,,,,,,,,,,,,,,,,,,,,
,0.79979,0.0183,0.228,5.72E-06,61.49237359,,,,,,,,,,,,,,,,,,,,
,0.8,0.0186,0.224,5.63E-06,59.49811649,,,,,,,,,,,,,,,,,,,,
,0.80002,0.0186,0.224,5.63E-06,59.43417744,,,,,,,,,,,,,,,,,,,,
,0.8004,0.0183,0.228,5.74E-06,61.53924501,,,,,,,,,,,,,,,,,,,,
,0.8076,0.0165,0.254,6.51E-06,76.45585514,,,,,,,,,,,,,,,,,,,,
,0.80949,0.0164,0.257,6.62E-06,78.35267377,,,,,,,,,,,,,,,,,,,,
,0.80979,0.0164,0.258,6.64E-06,78.63979239,,,,,,,,,,,,,,,,,,,,
,0.81,0.0164,0.258,6.64E-06,78.58494997,,,,,,,,,,,,,,,,,,,,
,0.81014,0.0162,0.261,6.73E-06,80.69788744,,,,,,,,,,,,,,,,,,,,
,0.8104,0.0161,0.262,6.77E-06,81.52423445,,,,,,,,,,,,,,,,,,,,
,0.8125,0.0157,0.269,6.97E-06,85.496016,,,,,,,,,,,,,,,,,,,,
,0.8176,0.0149,0.285,7.49E-06,96.44414206,,,,,,,,,,,,,,,,,,,,
,0.81949,0.0149,0.286,7.55E-06,97.15326088,,,,,,,,,,,,,,,,,,,,
,0.82,0.0149,0.287,7.57E-06,97.33469742,,,,,,,,,,,,,,,,,,,,
,0.82002,0.0154,0.278,7.33E-06,91.27871313,,,,,,,,,,,,,,,,,,,,
,0.8276,0.0137,0.314,8.45E-06,116.7620245,,,,,,,,,,,,,,,,,,,,
,0.82997,0.0139,0.31,8.39E-06,113.8000523,,,,,,,,,,,,,,,,,,,,
,0.8375,0.0128,0.342,9.41E-06,138.2718849,,,,,,,,,,,,,,,,,,,,
,0.8376,0.0127,0.342,9.43E-06,138.6481748,,,,,,,,,,,,,,,,,,,,
,0.8391,0.0123,0.354,9.79E-06,148.4625811,,,,,,,,,,,,,,,,,,,,
,0.83947,0.0124,0.351,9.72E-06,145.9439488,,,,,,,,,,,,,,,,,,,,
,0.84,0.0126,0.347,9.61E-06,142.4391779,,,,,,,,,,,,,,,,,,,,
,0.8432,0.012,0.365,0.0000102,158.1407875,,,,,,,,,,,,,,,,,,,,
,0.8476,0.0118,0.374,0.0000105,165.5313768,,,,,,,,,,,,,,,,,,,,
,0.84924,0.0114,0.389,0.000011,179.2047531,,,,,,,,,,,,,,,,,,,,
,0.8576,0.0111,0.402,0.0000116,191.6049604,,,,,,,,,,,,,,,,,,,,
,0.8596,0.0116,0.385,0.0000112,175.3362453,,,,,,,,,,,,,,,,,,,,
,0.8625,0.0112,0.4,0.0000117,189.9389614,,,,,,,,,,,,,,,,,,,,
,0.8676,0.0105,0.431,0.0000128,220.4554507,,,,,,,,,,,,,,,,,,,,
,0.8695,0.0101,0.447,0.0000133,237.0577527,,,,,,,,,,,,,,,,,,,,
,0.8776,0.00977,0.468,0.0000142,259.1687702,,,,,,,,,,,,,,,,,,,,
,0.87945,0.00976,0.469,0.0000143,260.6951871,,,,,,,,,,,,,,,,,,,,
,0.87984,0.00976,0.469,0.0000143,261.0123875,,,,,,,,,,,,,,,,,,,,
,0.88,0.00975,0.47,0.0000143,261.3938678,,,,,,,,,,,,,,,,,,,,
,0.8875,0.00921,0.502,0.0000155,298.037652,,,,,,,,,,,,,,,,,,,,
,0.8876,0.00921,0.502,0.0000155,298.5765355,,,,,,,,,,,,,,,,,,,,
,0.88972,0.00903,0.513,0.000016,311.8968854,,,,,,,,,,,,,,,,,,,,
,0.8932,0.00928,0.501,0.0000157,297.6649394,,,,,,,,,,,,,,,,,,,,
,0.8976,0.00879,0.531,0.0000168,334.6793537,,,,,,,,,,,,,,,,,,,,
,0.90004,0.00883,0.53,0.0000169,333.4731123,,,,,,,,,,,,,,,,,,,,
,0.9076,0.00868,0.544,0.0000176,351.0890119,,,,,,,,,,,,,,,,,,,,
,0.91,0.00847,0.559,0.0000182,370.691468,,,,,,,,,,,,,,,,,,,,
,0.91002,0.00847,0.559,0.0000182,370.8657043,,,,,,,,,,,,,,,,,,,,
,0.915,0.00834,0.571,0.0000188,386.3028413,,,,,,,,,,,,,,,,,,,,
,0.9176,0.00828,0.577,0.0000191,394.5971212,,,,,,,,,,,,,,,,,,,,
,0.91943,0.00818,0.585,0.0000194,405.65559,,,,,,,,,,,,,,,,,,,,
,0.91956,0.00818,0.586,0.0000195,406.4615088,,,,,,,,,,,,,,,,,,,,
,0.92,0.00845,0.567,0.0000189,380.9503164,,,,,,,,,,,,,,,,,,,,
,0.9276,0.00802,0.602,0.0000204,429.5463257,,,,,,,,,,,,,,,,,,,,
,0.93011,0.00814,0.595,0.0000202,419.6295233,,,,,,,,,,,,,,,,,,,,
,0.9376,0.00777,0.629,0.0000217,468.2055102,,,,,,,,,,,,,,,,,,,,
,0.93945,0.00793,0.617,0.0000214,451.1386268,,,,,,,,,,,,,,,,,,,,
,0.94,0.00798,0.614,0.0000213,446.2356266,,,,,,,,,,,,,,,,,,,,
,0.94219,0.008,0.613,0.0000214,445.9035502,,,,,,,,,,,,,,,,,,,,
,0.9476,0.00763,0.647,0.0000228,496.2274959,,,,,,,,,,,,,,,,,,,,
,0.94945,0.00779,0.635,0.0000225,477.0964889,,,,,,,,,,,,,,,,,,,,
,0.95,0.00784,0.631,0.0000224,471.6196467,,,,,,,,,,,,,,,,,,,,
,0.95184,0.00781,0.635,0.0000226,477.519643,,,,,,,,,,,,,,,,,,,,
,0.954,0.0077,0.645,0.0000231,492.776922,,,,,,,,,,,,,,,,,,,,
,0.955,0.00766,0.649,0.0000233,499.8344218,,,,,,,,,,,,,,,,,,,,
,0.956,0.00761,0.654,0.0000235,506.7594994,,,,,,,,,,,,,,,,,,,,
,0.95745,0.00779,0.64,0.0000231,485.6943859,,,,,,,,,,,,,,,,,,,,
,0.9576,0.00781,0.639,0.000023,483.5868877,,,,,,,,,,,,,,,,,,,,
,0.958,0.00775,0.644,0.0000232,491.0182748,,,,,,,,,,,,,,,,,,,,
,0.96,0.00786,0.636,0.000023,479.7745896,,,,,,,,,,,,,,,,,,,,
,0.96152,0.00794,0.631,0.0000229,471.4713799,,,,,,,,,,,,,,,,,,,,
,0.963,0.00748,0.67,0.0000244,532.2955749,,,,,,,,,,,,,,,,,,,,
,0.9676,0.00767,0.657,0.0000242,511.4382152,,,,,,,,,,,,,,,,,,,,
,0.96946,0.00765,0.66,0.0000244,515.7951932,,,,,,,,,,,,,,,,,,,,
,0.97,0.00765,0.661,0.0000244,517.1117612,,,,,,,,,,,,,,,,,,,,
,0.971,0.00766,0.66,0.0000244,515.9496712,,,,,,,,,,,,,,,,,,,,
,0.9776,0.00774,0.658,0.0000247,512.8909629,,,,,,,,,,,,,,,,,,,,
,0.98,0.00786,0.649,0.0000245,499.2354261,,,,,,,,,,,,,,,,,,,,
,0.984,0.00729,0.703,0.0000267,585.3421796,,,,,,,,,,,,,,,,,,,,
,0.98402,0.00746,0.687,0.0000261,559.5435198,,,,,,,,,,,,,,,,,,,,
,0.9841,0.00746,0.687,0.0000262,559.7166606,,,,,,,,,,,,,,,,,,,,
,0.98421,0.00746,0.687,0.0000262,560.0015369,,,,,,,,,,,,,,,,,,,,
,0.985,0.0073,0.703,0.0000268,585.7794592,,,,,,,,,,,,,,,,,,,,
,0.98558,0.00736,0.697,0.0000266,576.4366985,,,,,,,,,,,,,,,,,,,,
,0.9875,0.00759,0.678,0.000026,544.5658156,,,,,,,,,,,,,,,,,,,,
,0.9876,0.0076,0.677,0.0000259,542.9598394,,,,,,,,,,,,,,,,,,,,
,0.99,0.0077,0.67,0.0000258,531.3600806,,,,,,,,,,,,,,,,,,,,
,0.993,0.00776,0.666,0.0000258,525.8054637,,,,,,,,,,,,,,,,,,,,
,0.994,0.0078,0.663,0.0000258,521.4135213,,,,,,,,,,,,,,,,,,,,
,0.9976,0.00826,0.629,0.0000246,468.9245389,,,,,,,,,,,,,,,,,,,,
,1,0.00856,0.608,0.0000239,438.3469528,,,,,,,,,,,,,,,,,,,,
,1.002,0.0084,0.622,0.0000245,457.8835336,,,,,,,,,,,,,,,,,,,,
,1.003,0.00847,0.616,0.0000244,450.3249722,,,,,,,,,,,,,,,,,,,,
,1.00371,0.00869,0.602,0.0000238,428.8877114,,,,,,,,,,,,,,,,,,,,
,1.00391,0.00867,0.603,0.0000239,430.8764017,,,,,,,,,,,,,,,,,,,,
,1.004,0.00873,0.599,0.0000237,425.1935931,,,,,,,,,,,,,,,,,,,,
,1.00425,0.00889,0.588,0.0000233,410.1903834,,,,,,,,,,,,,,,,,,,,
,1.00464,0.00891,0.587,0.0000233,408.6934773,,,,,,,,,,,,,,,,,,,,
,1.00496,0.00895,0.585,0.0000232,405.6337504,,,,,,,,,,,,,,,,,,,,
,1.005,0.00895,0.585,0.0000232,405.1832027,,,,,,,,,,,,,,,,,,,,
,1.0066,0.00914,0.574,0.0000228,389.8706508,,,,,,,,,,,,,,,,,,,,
,1.007,0.0092,0.57,0.0000227,384.9091791,,,,,,,,,,,,,,,,,,,,
,1.00862,0.011,0.478,0.0000191,270.9401623,,,,,,,,,,,,,,,,,,,,
,1.01,0.0115,0.456,0.0000183,246.3408551,,,,,,,,,,,,,,,,,,,,
,1.01017,0.0119,0.442,0.0000177,231.3591669,,,,,,,,,,,,,,,,,,,,
,1.01027,0.012,0.438,0.0000176,227.720214,,,,,,,,,,,,,,,,,,,,
,1.0103,0.0118,0.445,0.0000178,234.2047751,,,,,,,,,,,,,,,,,,,,
,1.01034,0.0116,0.453,0.0000182,243.3535962,,,,,,,,,,,,,,,,,,,,
,1.0107,0.0129,0.407,0.0000163,196.1007376,,,,,,,,,,,,,,,,,,,,
,1.01076,0.0132,0.4,0.0000161,189.5779247,,,,,,,,,,,,,,,,,,,,
,1.01086,0.0135,0.389,0.0000156,179.1327208,,,,,,,,,,,,,,,,,,,,
,1.011,0.0139,0.379,0.0000152,170.0874849,,,,,,,,,,,,,,,,,,,,
,1.0113,0.0145,0.364,0.0000146,157.1288681,,,,,,,,,,,,,,,,,,,,
,1.01276,0.0188,0.281,0.0000113,93.50757499,,,,,,,,,,,,,,,,,,,,
,1.013,0.0206,0.257,0.0000104,78.05742324,,,,,,,,,,,,,,,,,,,,
,1.01388,0.0233,0.227,9.16E-06,60.94547171,,,,,,,,,,,,,,,,,,,,
,1.015,0.0302,0.175,7.08E-06,36.26480018,,,,,,,,,,,,,,,,,,,,
,1.01525,0.0321,0.165,6.67E-06,32.11648168,,,,,,,,,,,,,,,,,,,,
,1.01543,0.0335,0.158,6.39E-06,29.50442387,,,,,,,,,,,,,,,,,,,,
,1.01566,0.0359,0.147,5.97E-06,25.68551501,,,,,,,,,,,,,,,,,,,,
,1.0157,0.0364,0.146,5.90E-06,25.09763604,,,,,,,,,,,,,,,,,,,,
,1.01575,0.0369,0.143,5.82E-06,24.38826633,,,,,,,,,,,,,,,,,,,,
,1.01599,0.0419,0.126,5.13E-06,18.91171181,,,,,,,,,,,,,,,,,,,,
,1.01607,0.0432,0.123,4.98E-06,17.82024288,,,,,,,,,,,,,,,,,,,,
,1.0162,0.0452,0.117,4.75E-06,16.24041081,,,,,,,,,,,,,,,,,,,,
,1.01637,0.0479,0.111,4.49E-06,14.47300947,,,,,,,,,,,,,,,,,,,,
,1.01654,0.0521,0.102,4.13E-06,12.25853318,,,,,,,,,,,,,,,,,,,,
