,mZD,Gamma_ZD/(epsilon^2 GeV),Br(ZD->ll)/epsilon^2,Br(h->ZDZ^(*)->4l)/epsilon^2,Br(h->ZDZD->4l)/kappaprime^2,,,,,,,,,,,,,,,,,,,,
,1.6375,0.0195,0.438,0.0000462,227.439674,,,,,,,,,,,,,,,,,,,,
,1.64,0.0204,0.418,0.0000443,207.1838976,,,,,,,,,,,,,,,,,,,,
,1.65,0.0213,0.403,0.0000432,192.4875785,,,,,,,,,,,,,,,,,,,,
,1.653,0.0211,0.408,0.0000439,197.0563314,,,,,,,,,,,,,,,,,,,,
,1.66,0.0206,0.419,0.0000455,208.1766796,,,,,,,,,,,,,,,,,,,,
,1.662,0.02,0.433,0.0000471,222.0428151,,,,,,,,,,,,,,,,,,,,
,1.6625,0.0199,0.436,0.0000474,224.7547664,,,,,,,,,,,,,,,,,,,,
,1.67,0.0201,0.432,0.0000474,221.0383758,,,,,,,,,,,,,,,,,,,,
,1.6745,0.0203,0.43,0.0000474,218.4810379,,,,,,,,,,,,,,,,,,,,
,1.675,0.0203,0.429,0.0000474,218.2202391,,,,,,,,,,,,,,,,,,,,
,1.68,0.0205,0.428,0.0000476,217.0284594,,,,,,,,,,,,,,,,,,,,
,1.6875,0.02,0.44,0.0000493,228.8543829,,,,,,,,,,,,,,,,,,,,
,1.69,0.0201,0.438,0.0000493,227.3728548,,,,,,,,,,,,,,,,,,,,
,1.7,0.0206,0.43,0.0000489,219.206318,,,,,,,,,,,,,,,,,,,,
,1.71,0.0204,0.436,0.0000502,225.1498646,,,,,,,,,,,,,,,,,,,,
,1.712,0.0203,0.439,0.0000506,227.9617831,,,,,,,,,,,,,,,,,,,,
,1.7125,0.0203,0.44,0.0000508,229.0981799,,,,,,,,,,,,,,,,,,,,
,1.72,0.0206,0.435,0.0000507,224.4008253,,,,,,,,,,,,,,,,,,,,
,1.725,0.0204,0.442,0.0000517,230.9459405,,,,,,,,,,,,,,,,,,,,
,1.73,0.0203,0.445,0.0000524,234.066338,,,,,,,,,,,,,,,,,,,,
,1.7375,0.0202,0.448,0.0000532,237.5675504,,,,,,,,,,,,,,,,,,,,
,1.74,0.0207,0.437,0.0000521,226.2827292,,,,,,,,,,,,,,,,,,,,
,1.7485,0.0209,0.436,0.0000525,225.4998423,,,,,,,,,,,,,,,,,,,,
,1.7495,0.0209,0.436,0.0000526,225.3972429,,,,,,,,,,,,,,,,,,,,
,1.75,0.0209,0.436,0.0000526,225.3420369,,,,,,,,,,,,,,,,,,,,
,1.756,0.0222,0.413,0.0000501,201.6176961,,,,,,,,,,,,,,,,,,,,
,1.76,0.022,0.418,0.0000509,206.3786059,,,,,,,,,,,,,,,,,,,,
,1.762,0.0213,0.431,0.0000526,219.6134765,,,,,,,,,,,,,,,,,,,,
,1.7625,0.0211,0.436,0.0000533,225.3060236,,,,,,,,,,,,,,,,,,,,
,1.769,0.0195,0.474,0.0000584,265.9992236,,,,,,,,,,,,,,,,,,,,
,1.77,0.0198,0.466,0.0000574,256.6549685,,,,,,,,,,,,,,,,,,,,
,1.775,0.0218,0.425,0.0000527,213.8200707,,,,,,,,,,,,,,,,,,,,
,1.78,0.0217,0.427,0.0000533,216.0320109,,,,,,,,,,,,,,,,,,,,
,1.7875,0.0207,0.45,0.0000566,239.9584052,,,,,,,,,,,,,,,,,,,,
,1.79,0.0207,0.451,0.0000569,240.6158055,,,,,,,,,,,,,,,,,,,,
,1.792,0.0207,0.45,0.0000569,240.0239947,,,,,,,,,,,,,,,,,,,,
,1.8,0.0209,0.448,0.0000572,237.7583193,,,,,,,,,,,,,,,,,,,,
,1.81,0.0199,0.474,0.0000612,266.218492,,,,,,,,,,,,,,,,,,,,
,1.812,0.0198,0.478,0.0000618,270.4422832,,,,,,,,,,,,,,,,,,,,
,1.8125,0.0197,0.479,0.0000619,271.1752049,,,,,,,,,,,,,,,,,,,,
,1.82,0.0206,0.46,0.0000599,249.9604408,,,,,,,,,,,,,,,,,,,,
,1.825,0.0202,0.47,0.0000617,261.8799515,,,,,,,,,,,,,,,,,,,,
,1.83,0.0211,0.453,0.0000597,242.841156,,,,,,,,,,,,,,,,,,,,
,1.835,0.022,0.436,0.0000578,224.7528897,,,,,,,,,,,,,,,,,,,,
,1.8375,0.0212,0.451,0.0000599,240.5247755,,,,,,,,,,,,,,,,,,,,
,1.84,0.0214,0.448,0.0000598,238.0250695,,,,,,,,,,,,,,,,,,,,
,1.85,0.019,0.509,0.0000685,306.3338709,,,,,,,,,,,,,,,,,,,,
,1.86,0.0191,0.507,0.0000691,304.3849217,,,,,,,,,,,,,,,,,,,,
,1.8625,0.0185,0.523,0.0000715,324.203561,,,,,,,,,,,,,,,,,,,,
,1.87,0.019,0.514,0.0000708,313.105499,,,,,,,,,,,,,,,,,,,,
,1.875,0.0192,0.508,0.0000703,305.1859694,,,,,,,,,,,,,,,,,,,,
,1.8775,0.0194,0.506,0.0000702,302.4910967,,,,,,,,,,,,,,,,,,,,
,1.88,0.0195,0.503,0.00007,299.9011766,,,,,,,,,,,,,,,,,,,,
,1.883,0.0192,0.511,0.0000714,309.2707365,,,,,,,,,,,,,,,,,,,,
,1.8875,0.0188,0.522,0.0000732,322.6894116,,,,,,,,,,,,,,,,,,,,
,1.89,0.019,0.518,0.0000729,317.8605573,,,,,,,,,,,,,,,,,,,,
,1.9,0.0198,0.501,0.0000712,297.0393135,,,,,,,,,,,,,,,,,,,,
,1.91,0.0192,0.518,0.0000744,317.0740367,,,,,,,,,,,,,,,,,,,,
,1.9125,0.0192,0.519,0.0000747,318.2742955,,,,,,,,,,,,,,,,,,,,
,1.92,0.0201,0.498,0.0000722,293.0597028,,,,,,,,,,,,,,,,,,,,
,1.925,0.0202,0.497,0.0000725,291.8075826,,,,,,,,,,,,,,,,,,,,
,1.93,0.0199,0.506,0.0000743,303.6234979,,,,,,,,,,,,,,,,,,,,
,1.9375,0.0195,0.519,0.0000767,318.8629249,,,,,,,,,,,,,,,,,,,,
,1.94,0.0205,0.493,0.000073,287.4858522,,,,,,,,,,,,,,,,,,,,
,1.945,0.02,0.508,0.0000757,305.4536464,,,,,,,,,,,,,,,,,,,,
,1.95,0.0213,0.478,0.0000716,270.7684603,,,,,,,,,,,,,,,,,,,,
,1.955,0.0191,0.533,0.0000803,336.5988955,,,,,,,,,,,,,,,,,,,,
,1.96,0.0222,0.46,0.0000696,250.2922363,,,,,,,,,,,,,,,,,,,,
,1.9625,0.021,0.488,0.000074,281.3851112,,,,,,,,,,,,,,,,,,,,
,1.97,0.0217,0.472,0.0000722,264.0938226,,,,,,,,,,,,,,,,,,,,
,1.971,0.0218,0.471,0.000072,262.1469382,,,,,,,,,,,,,,,,,,,,
,1.973,0.022,0.467,0.0000715,257.639106,,,,,,,,,,,,,,,,,,,,
,1.975,0.0223,0.462,0.000071,253.1341209,,,,,,,,,,,,,,,,,,,,
,1.98,0.0229,0.451,0.0000696,240.3615455,,,,,,,,,,,,,,,,,,,,
,1.9875,0.0218,0.474,0.0000738,266.4732574,,,,,,,,,,,,,,,,,,,,
,1.99,0.0223,0.465,0.0000726,256.3596361,,,,,,,,,,,,,,,,,,,,
,2,0.0218,0.478,0.0000754,270.9390435,,,,,,,,,,,,,,,,,,,,
,2.2,0.0251,0.457,0.0000871,246.6830332,,,,,,,,,,,,,,,,,,,,
,2.4,0.0274,0.457,0.000104,246.5969649,,,,,,,,,,,,,,,,,,,,
,2.5,0.0286,0.456,0.000112,245.4289974,,,,,,,,,,,,,,,,,,,,
,2.6,0.0306,0.443,0.000118,232.4970325,,,,,,,,,,,,,,,,,,,,
,2.7,0.0303,0.465,0.000134,255.7086945,,,,,,,,,,,,,,,,,,,,
,2.8,0.0304,0.48,0.000149,271.843446,,,,,,,,,,,,,,,,,,,,
,2.9,0.0319,0.474,0.000158,265.3819393,,,,,,,,,,,,,,,,,,,,
,3,0.0329,0.475,0.000169,266.5839111,,,,,,,,,,,,,,,,,,,,
,3.2,0.0351,0.475,0.000193,266.4572461,,,,,,,,,,,,,,,,,,,,
,3.4,0.0388,0.457,0.000209,246.0501826,,,,,,,,,,,,,,,,,,,,
,3.55,0.0402,0.461,0.00023,250.2412423,,,,,,,,,,,,,,,,,,,,
,3.598,0.0443,0.423,0.000217,211.283856,,,,,,,,,,,,,,,,,,,,
,3.67,0.0453,0.423,0.000226,210.5818827,,,,,,,,,,,,,,,,,,,,
,3.692,0.0448,0.43,0.000233,218.0917645,,,,,,,,,,,,,,,,,,,,
,3.7,0.0449,0.43,0.000233,217.7503887,,,,,,,,,,,,,,,,,,,,
,3.704,0.0456,0.424,0.000231,211.5457152,,,,,,,,,,,,,,,,,,,,
,3.71,0.0463,0.418,0.000228,205.9475254,,,,,,,,,,,,,,,,,,,,
,3.716,0.0439,0.441,0.000242,229.4161744,,,,,,,,,,,,,,,,,,,,
,3.728,0.0499,0.389,0.000215,178.4895219,,,,,,,,,,,,,,,,,,,,
,3.73,0.0462,0.421,0.000233,209.2869457,,,,,,,,,,,,,,,,,,,,
,3.74,0.0514,0.379,0.00021,169.4944771,,,,,,,,,,,,,,,,,,,,
,3.746,0.0497,0.393,0.000219,182.1637732,,,,,,,,,,,,,,,,,,,,
,3.75,0.0526,0.372,0.000207,162.8073676,,,,,,,,,,,,,,,,,,,,
,3.752,0.0586,0.334,0.000187,131.4783644,,,,,,,,,,,,,,,,,,,,
,3.758,0.0614,0.319,0.000179,120.0999358,,,,,,,,,,,,,,,,,,,,
,3.76,0.0515,0.38,0.000214,170.6718993,,,,,,,,,,,,,,,,,,,,
,3.762,0.0628,0.312,0.000175,114.8306335,,,,,,,,,,,,,,,,,,,,
,3.764,0.0605,0.324,0.000182,124.0020519,,,,,,,,,,,,,,,,,,,,
,3.766,0.0677,0.29,0.000163,99.2776468,,,,,,,,,,,,,,,,,,,,
,3.768,0.0618,0.318,0.000179,119.0452048,,,,,,,,,,,,,,,,,,,,
,3.77,0.064,0.307,0.000173,111.262651,,,,,,,,,,,,,,,,,,,,
,3.771,0.0588,0.334,0.000189,131.5824787,,,,,,,,,,,,,,,,,,,,
,3.772,0.0587,0.335,0.000189,132.1594363,,,,,,,,,,,,,,,,,,,,
,3.774,0.0697,0.282,0.000159,93.82918404,,,,,,,,,,,,,,,,,,,,
,3.776,0.0571,0.345,0.000195,140.1521661,,,,,,,,,,,,,,,,,,,,
,3.78,0.0617,0.32,0.000181,120.3510904,,,,,,,,,,,,,,,,,,,,
,3.782,0.0509,0.387,0.00022,177.0081197,,,,,,,,,,,,,,,,,,,,
,3.786,0.0583,0.338,0.000193,135.0191726,,,,,,,,,,,,,,,,,,,,
,3.788,0.0492,0.401,0.000229,189.7158155,,,,,,,,,,,,,,,,,,,,
,3.79,0.0539,0.366,0.000209,158.2852348,,,,,,,,,,,,,,,,,,,,
,3.794,0.0487,0.406,0.000232,194.786034,,,,,,,,,,,,,,,,,,,,
,3.8,0.0536,0.37,0.000212,161.1679172,,,,,,,,,,,,,,,,,,,,
,3.81,0.0511,0.389,0.000224,178.1638126,,,,,,,,,,,,,,,,,,,,
,3.812,0.0464,0.428,0.000247,215.9008658,,,,,,,,,,,,,,,,,,,,
,3.821,0.0529,0.377,0.000218,167.3457222,,,,,,,,,,,,,,,,,,,,
,3.824,0.0503,0.396,0.00023,185.2765725,,,,,,,,,,,,,,,,,,,,
,3.83,0.0522,0.383,0.000223,172.7115342,,,,,,,,,,,,,,,,,,,,
,3.836,0.0476,0.42,0.000245,207.9188875,,,,,,,,,,,,,,,,,,,,
,3.848,0.049,0.41,0.000241,197.8710395,,,,,,,,,,,,,,,,,,,,
,3.85,0.0517,0.388,0.000228,177.4535808,,,,,,,,,,,,,,,,,,,,
,3.86,0.0493,0.408,0.000242,196.3751103,,,,,,,,,,,,,,,,,,,,
,3.865,0.0582,0.346,0.000205,141.121356,,,,,,,,,,,,,,,,,,,,
,3.87,0.0555,0.363,0.000216,155.6628228,,,,,,,,,,,,,,,,,,,,
,3.872,0.0505,0.399,0.000238,187.9356681,,,,,,,,,,,,,,,,,,,,
,3.878,0.0512,0.395,0.000236,183.5035077,,,,,,,,,,,,,,,,,,,,
,3.884,0.053,0.382,0.000229,172.1831319,,,,,,,,,,,,,,,,,,,,
,3.886,0.0605,0.335,0.000201,132.1001549,,,,,,,,,,,,,,,,,,,,
,3.89,0.0525,0.386,0.000232,175.5959623,,,,,,,,,,,,,,,,,,,,
,3.896,0.0525,0.387,0.000233,176.3545004,,,,,,,,,,,,,,,,,,,,
,3.902,0.0547,0.372,0.000225,163.23235,,,,,,,,,,,,,,,,,,,,
,3.908,0.053,0.384,0.000233,173.8221924,,,,,,,,,,,,,,,,,,,,
,3.914,0.0595,0.343,0.000209,138.6273653,,,,,,,,,,,,,,,,,,,,
,3.92,0.0564,0.362,0.000221,154.4286624,,,,,,,,,,,,,,,,,,,,
,3.926,0.0544,0.376,0.00023,166.6493215,,,,,,,,,,,,,,,,,,,,
,3.93,0.0593,0.345,0.000212,140.5696443,,,,,,,,,,,,,,,,,,,,
,3.932,0.0582,0.352,0.000216,146.0062346,,,,,,,,,,,,,,,,,,,,
,3.938,0.0538,0.381,0.000235,171.3199484,,,,,,,,,,,,,,,,,,,,
,3.94,0.0571,0.36,0.000222,152.6693799,,,,,,,,,,,,,,,,,,,,
,3.944,0.0614,0.335,0.000207,132.306026,,,,,,,,,,,,,,,,,,,,
,3.95,0.0583,0.353,0.000219,147.023818,,,,,,,,,,,,,,,,,,,,
,3.956,0.0559,0.369,0.000229,160.1307617,,,,,,,,,,,,,,,,,,,,
,3.96,0.0559,0.369,0.00023,160.5921184,,,,,,,,,,,,,,,,,,,,
,3.962,0.0578,0.357,0.000223,150.3706045,,,,,,,,,,,,,,,,,,,,
,3.968,0.0598,0.346,0.000216,140.9893292,,,,,,,,,,,,,,,,,,,,
,3.97,0.0613,0.338,0.000211,134.3526503,,,,,,,,,,,,,,,,,,,,
,3.974,0.0625,0.331,0.000208,129.4059372,,,,,,,,,,,,,,,,,,,,
,3.98,0.0615,0.337,0.000212,134.1121008,,,,,,,,,,,,,,,,,,,,
,3.986,0.0664,0.313,0.000198,115.3789503,,,,,,,,,,,,,,,,,,,,
,3.99,0.0593,0.351,0.000222,144.8936512,,,,,,,,,,,,,,,,,,,,
,3.992,0.0632,0.329,0.000209,127.732722,,,,,,,,,,,,,,,,,,,,
,3.998,0.0632,0.33,0.000209,128.0254285,,,,,,,,,,,,,,,,,,,,
,4,0.0606,0.344,0.000219,139.6979989,,,,,,,,,,,,,,,,,,,,
,4.004,0.0629,0.332,0.000211,129.6007989,,,,,,,,,,,,,,,,,,,,
,4.01,0.0668,0.313,0.0002,115.3014731,,,,,,,,,,,,,,,,,,,,
,4.016,0.068,0.308,0.000197,111.6758872,,,,,,,,,,,,,,,,,,,,
,4.02,0.0743,0.282,0.000181,93.80097151,,,,,,,,,,,,,,,,,,,,
,4.022,0.0774,0.271,0.000174,86.5489106,,,,,,,,,,,,,,,,,,,,
,4.027,0.076,0.276,0.000178,89.8695189,,,,,,,,,,,,,,,,,,,,
,4.028,0.0771,0.272,0.000176,87.42635967,,,,,,,,,,,,,,,,,,,,
,4.03,0.0761,0.276,0.000178,89.83405612,,,,,,,,,,,,,,,,,,,,
,4.033,0.0734,0.286,0.000185,96.60965736,,,,,,,,,,,,,,,,,,,,
,4.034,0.0787,0.267,0.000173,84.12091252,,,,,,,,,,,,,,,,,,,,
,4.04,0.0752,0.28,0.000182,92.50445971,,,,,,,,,,,,,,,,,,,,
,4.046,0.0768,0.275,0.000179,88.91145065,,,,,,,,,,,,,,,,,,,,
,4.05,0.0729,0.29,0.000189,98.92239227,,,,,,,,,,,,,,,,,,,,
,4.052,0.075,0.282,0.000184,93.40489316,,,,,,,,,,,,,,,,,,,,
,4.058,0.0737,0.287,0.000188,97.12353345,,,,,,,,,,,,,,,,,,,,
,4.06,0.0775,0.273,0.000179,87.78989713,,,,,,,,,,,,,,,,,,,,
,4.064,0.0708,0.299,0.000196,105.3457503,,,,,,,,,,,,,,,,,,,,
,4.07,0.0718,0.295,0.000195,102.7895286,,,,,,,,,,,,,,,,,,,,
,4.076,0.0716,0.297,0.000196,103.6262351,,,,,,,,,,,,,,,,,,,,
,4.08,0.0736,0.289,0.000191,98.25838442,,,,,,,,,,,,,,,,,,,,
,4.082,0.0703,0.303,0.000201,107.9828728,,,,,,,,,,,,,,,,,,,,
,4.088,0.072,0.296,0.000197,103.1625421,,,,,,,,,,,,,,,,,,,,
,4.09,0.0719,0.296,0.000197,103.4426426,,,,,,,,,,,,,,,,,,,,
,4.094,0.0717,0.298,0.000198,104.3163464,,,,,,,,,,,,,,,,,,,,
,4.1,0.0721,0.296,0.000198,103.4679187,,,,,,,,,,,,,,,,,,,,
,4.105,0.0719,0.297,0.000199,104.1751039,,,,,,,,,,,,,,,,,,,,
,4.109,0.0724,0.296,0.000199,103.2018724,,,,,,,,,,,,,,,,,,,,
,4.11,0.0709,0.302,0.000203,107.6024482,,,,,,,,,,,,,,,,,,,,
,4.113,0.0738,0.29,0.000195,99.29528511,,,,,,,,,,,,,,,,,,,,
,4.118,0.0726,0.296,0.0002,103.0910494,,,,,,,,,,,,,,,,,,,,
,4.12,0.0731,0.294,0.000198,101.5588906,,,,,,,,,,,,,,,,,,,,
,4.121,0.0741,0.29,0.000196,98.91555674,,,,,,,,,,,,,,,,,,,,
,4.125,0.0743,0.289,0.000196,98.58423452,,,,,,,,,,,,,,,,,,,,
,4.129,0.0737,0.292,0.000198,100.5653685,,,,,,,,,,,,,,,,,,,,
,4.13,0.0721,0.299,0.000203,105.1105868,,,,,,,,,,,,,,,,,,,,
,4.133,0.0731,0.295,0.0002,102.3049892,,,,,,,,,,,,,,,,,,,,
,4.136,0.0725,0.297,0.000202,104.1024834,,,,,,,,,,,,,,,,,,,,
,4.14,0.0706,0.306,0.000209,110.1904106,,,,,,,,,,,,,,,,,,,,
,4.141,0.0734,0.294,0.000201,101.9113607,,,,,,,,,,,,,,,,,,,,
,4.147,0.0751,0.288,0.000197,97.49451365,,,,,,,,,,,,,,,,,,,,
,4.15,0.0749,0.289,0.000198,98.3093108,,,,,,,,,,,,,,,,,,,,
,4.153,0.0757,0.286,0.000196,96.31951583,,,,,,,,,,,,,,,,,,,,
,4.159,0.074,0.293,0.000202,101.1127084,,,,,,,,,,,,,,,,,,,,
,4.16,0.0741,0.293,0.000201,100.8061086,,,,,,,,,,,,,,,,,,,,
,4.165,0.0729,0.298,0.000205,104.3836023,,,,,,,,,,,,,,,,,,,,
,4.17,0.0743,0.292,0.000202,100.6977547,,,,,,,,,,,,,,,,,,,,
,4.171,0.0746,0.292,0.000202,100.1007348,,,,,,,,,,,,,,,,,,,,
,4.177,0.0738,0.295,0.000205,102.4115738,,,,,,,,,,,,,,,,,,,,
,4.18,0.0752,0.29,0.000201,98.85026443,,,,,,,,,,,,,,,,,,,,
,4.182,0.0774,0.282,0.000196,93.34274084,,,,,,,,,,,,,,,,,,,,
,4.185,0.0749,0.291,0.000203,99.95403317,,,,,,,,,,,,,,,,,,,,
,4.19,0.0728,0.3,0.00021,105.9873376,,,,,,,,,,,,,,,,,,,,
,4.195,0.0726,0.301,0.000211,106.8914047,,,,,,,,,,,,,,,,,,,,
,4.2,0.0722,0.303,0.000213,108.1345648,,,,,,,,,,,,,,,,,,,,
,4.201,0.0707,0.31,0.000217,112.8607649,,,,,,,,,,,,,,,,,,,,
,4.208,0.0707,0.31,0.000219,113.4783351,,,,,,,,,,,,,,,,,,,,
,4.21,0.0651,0.337,0.000238,133.7991364,,,,,,,,,,,,,,,,,,,,
,4.212,0.0705,0.311,0.00022,114.1379805,,,,,,,,,,,,,,,,,,,,
,4.214,0.069,0.318,0.000225,119.2553274,,,,,,,,,,,,,,,,,,,,
,4.22,0.0682,0.323,0.000229,122.4687658,,,,,,,,,,,,,,,,,,,,
,4.226,0.0627,0.352,0.00025,145.5571204,,,,,,,,,,,,,,,,,,,,
,4.23,0.0656,0.336,0.000239,133.0508093,,,,,,,,,,,,,,,,,,,,
,4.232,0.0635,0.347,0.000248,141.9424878,,,,,,,,,,,,,,,,,,,,
,4.238,0.0641,0.345,0.000246,139.8973818,,,,,,,,,,,,,,,,,,,,
,4.24,0.0661,0.334,0.000239,131.5760227,,,,,,,,,,,,,,,,,,,,
,4.244,0.0638,0.347,0.000249,141.7517659,,,,,,,,,,,,,,,,,,,,
,4.245,0.0632,0.35,0.000251,144.2275123,,,,,,,,,,,,,,,,,,,,
,4.25,0.0626,0.354,0.000254,147.2222435,,,,,,,,,,,,,,,,,,,,
,4.255,0.0624,0.355,0.000256,148.7134528,,,,,,,,,,,,,,,,,,,,
,4.256,0.064,0.347,0.00025,141.5651705,,,,,,,,,,,,,,,,,,,,
,4.26,0.0635,0.35,0.000253,143.9892332,,,,,,,,,,,,,,,,,,,,
,4.262,0.0649,0.343,0.000248,138.1016307,,,,,,,,,,,,,,,,,,,,
,4.265,0.0644,0.345,0.00025,140.4524702,,,,,,,,,,,,,,,,,,,,
,4.268,0.063,0.353,0.000256,146.9306458,,,,,,,,,,,,,,,,,,,,
,4.27,0.0669,0.333,0.000242,130.2910026,,,,,,,,,,,,,,,,,,,,
,4.274,0.0632,0.353,0.000256,146.3182728,,,,,,,,,,,,,,,,,,,,
,4.28,0.065,0.343,0.00025,138.5518714,,,,,,,,,,,,,,,,,,,,
,4.292,0.0642,0.349,0.000256,143.0020391,,,,,,,,,,,,,,,,,,,,
,4.3,0.0658,0.341,0.000251,136.6263478,,,,,,,,,,,,,,,,,,,,
,4.304,0.0684,0.328,0.000242,126.4693502,,,,,,,,,,,,,,,,,,,,
,4.316,0.0674,0.334,0.000247,131.005058,,,,,,,,,,,,,,,,,,,,
,4.32,0.0645,0.349,0.00026,143.5974646,,,,,,,,,,,,,,,,,,,,
,4.328,0.0687,0.329,0.000245,127.01664,,,,,,,,,,,,,,,,,,,,
,4.34,0.0692,0.327,0.000245,125.6373122,,,,,,,,,,,,,,,,,,,,
,4.35,0.071,0.319,0.000241,119.9768788,,,,,,,,,,,,,,,,,,,,
,4.352,0.0705,0.322,0.000243,121.8943198,,,,,,,,,,,,,,,,,,,,
,4.36,0.071,0.32,0.000242,120.6429201,,,,,,,,,,,,,,,,,,,,
,4.364,0.0731,0.311,0.000236,113.9413134,,,,,,,,,,,,,,,,,,,,
,4.376,0.0745,0.306,0.000234,110.370004,,,,,,,,,,,,,,,,,,,,
,4.38,0.0717,0.318,0.000243,119.2925684,,,,,,,,,,,,,,,,,,,,
,4.382,0.0759,0.301,0.00023,106.6934993,,,,,,,,,,,,,,,,,,,,
,4.388,0.0755,0.303,0.000232,107.9398401,,,,,,,,,,,,,,,,,,,,
,4.39,0.0717,0.319,0.000245,119.9574866,,,,,,,,,,,,,,,,,,,,
,4.394,0.0776,0.295,0.000227,102.5430951,,,,,,,,,,,,,,,,,,,,
,4.4,0.0773,0.297,0.000229,103.5642411,,,,,,,,,,,,,,,,,,,,
,4.406,0.0755,0.304,0.000235,108.7767329,,,,,,,,,,,,,,,,,,,,
,4.41,0.0756,0.304,0.000236,108.7438395,,,,,,,,,,,,,,,,,,,,
,4.412,0.0774,0.297,0.000231,103.9340634,,,,,,,,,,,,,,,,,,,,
,4.418,0.0785,0.293,0.000228,101.1647264,,,,,,,,,,,,,,,,,,,,
,4.42,0.0745,0.309,0.000241,112.3882848,,,,,,,,,,,,,,,,,,,,
,4.424,0.0785,0.294,0.000229,101.418355,,,,,,,,,,,,,,,,,,,,
,4.43,0.0791,0.292,0.000228,100.3415004,,,,,,,,,,,,,,,,,,,,
,4.436,0.0791,0.292,0.000229,100.4458619,,,,,,,,,,,,,,,,,,,,
,4.44,0.0769,0.301,0.000236,106.5531359,,,,,,,,,,,,,,,,,,,,
,4.442,0.0774,0.299,0.000235,105.2669605,,,,,,,,,,,,,,,,,,,,
,4.448,0.0779,0.298,0.000235,104.2846343,,,,,,,,,,,,,,,,,,,,
,4.45,0.0759,0.305,0.000241,109.7547631,,,,,,,,,,,,,,,,,,,,
,4.46,0.0762,0.305,0.000242,109.509666,,,,,,,,,,,,,,,,,,,,
,4.472,0.0774,0.301,0.00024,106.6356215,,,,,,,,,,,,,,,,,,,,
,4.48,0.0741,0.315,0.000252,116.895504,,,,,,,,,,,,,,,,,,,,
,4.484,0.075,0.312,0.00025,114.3261495,,,,,,,,,,,,,,,,,,,,
,4.496,0.0765,0.306,0.000247,110.4141931,,,,,,,,,,,,,,,,,,,,
,4.5,0.0739,0.318,0.000256,118.5936646,,,,,,,,,,,,,,,,,,,,
,4.52,0.0714,0.33,0.000269,127.9946524,,,,,,,,,,,,,,,,,,,,
,4.54,0.0716,0.331,0.000272,128.6657598,,,,,,,,,,,,,,,,,,,,
,4.56,0.0765,0.311,0.000258,113.4023213,,,,,,,,,,,,,,,,,,,,
,4.6,0.0752,0.319,0.000269,119.5275807,,,,,,,,,,,,,,,,,,,,
,4.8,0.0816,0.307,0.000282,110.5845744,,,,,,,,,,,,,,,,,,,,
,5,0.0828,0.315,0.000315,116.3440568,,,,,,,,,,,,,,,,,,,,
,5.2,0.086,0.315,0.000342,116.6556958,,,,,,,,,,,,,,,,,,,,
,6,0.0999,0.313,0.000455,114.597532,,,,,,,,,,,,,,,,,,,,
,6.5,0.112,0.304,0.00052,107.6456996,,,,,,,,,,,,,,,,,,,,
,7,0.122,0.299,0.000597,104.1793223,,,,,,,,,,,,,,,,,,,,
,7.3,0.125,0.305,0.000665,108.3616201,,,,,,,,,,,,,,,,,,,,
,7.4,0.132,0.292,0.000655,99.27200207,,,,,,,,,,,,,,,,,,,,
,7.44,0.123,0.315,0.000713,115.143746,,,,,,,,,,,,,,,,,,,,
,7.5,0.134,0.291,0.00067,98.31698984,,,,,,,,,,,,,,,,,,,,
,7.6,0.13,0.305,0.000722,108.0598332,,,,,,,,,,,,,,,,,,,,
,7.7,0.139,0.289,0.000702,96.7294201,,,,,,,,,,,,,,,,,,,,
,7.8,0.134,0.304,0.00076,107.2119509,,,,,,,,,,,,,,,,,,,,
,7.9,0.137,0.301,0.000772,104.8730699,,,,,,,,,,,,,,,,,,,,
,8,0.139,0.301,0.000791,104.4681862,,,,,,,,,,,,,,,,,,,,
,8.1,0.142,0.298,0.000805,102.5223565,,,,,,,,,,,,,,,,,,,,
,8.2,0.142,0.302,0.000837,105.2375554,,,,,,,,,,,,,,,,,,,,
,8.3,0.138,0.313,0.00089,113.2001489,,,,,,,,,,,,,,,,,,,,
,8.4,0.145,0.302,0.000881,105.3791567,,,,,,,,,,,,,,,,,,,,
,8.5,0.145,0.306,0.000916,108.2148167,,,,,,,,,,,,,,,,,,,,
,8.6,0.149,0.301,0.000921,104.2571035,,,,,,,,,,,,,,,,,,,,
,8.7,0.146,0.311,0.000976,111.4223645,,,,,,,,,,,,,,,,,,,,
,8.8,0.15,0.307,0.000986,108.2775657,,,,,,,,,,,,,,,,,,,,
,8.9,0.155,0.299,0.000983,102.4533053,,,,,,,,,,,,,,,,,,,,
,8.91,0.149,0.312,0.00103,111.9238964,,,,,,,,,,,,,,,,,,,,
,9,0.156,0.3,0.00101,103.602433,,,,,,,,,,,,,,,,,,,,
,9.1,0.157,0.302,0.00104,104.7718222,,,,,,,,,,,,,,,,,,,,
,9.2,0.157,0.305,0.00108,106.6088726,,,,,,,,,,,,,,,,,,,,
,9.28,0.152,0.317,0.00114,115.5110886,,,,,,,,,,,,,,,,,,,,
,9.3,0.16,0.303,0.0011,105.5534843,,,,,,,,,,,,,,,,,,,,
,9.36,0.157,0.31,0.00113,110.1292954,,,,,,,,,,,,,,,,,,,,
,9.39,0.159,0.309,0.00114,109.0851147,,,,,,,,,,,,,,,,,,,,
